paisagem_ano;ano;padrao;estado;areaha_florprima;perc_cobert;nfrag<1ha;nfrag_1-10ha;nfrag_10-100ha;nfrag_100-250ha;nfrag_250-500ha;nfrag_500-1000ha;nfrag>1000ha;nfrag_total;area_borda100;area_borda300;area_borda500;area_borda1000;area_core100;area_core300;area_core500;area_core1000; PAFRAC ; ENN_MN ; ENN_AM ; ENN_SD;ENN_CV;SHAPE_AM;PROX_CV;CORE_CV100;CORE_CV300;CORE_CV500;CORE_CV1000;CAI_AM100;CAI_AM300;CAI_AM500;CAI_AM1000;CLUMPY
22668_2_2005;2005;geo;MT;154341,63;61,74;20;70;37;3;3;1;6;140;170975376,3;403096768,1;592430783,6;933449310,7;137251,59;114062,49;95146,09;60996,7;1,2955;183,4104;64,5345;255,5363;139,3248693;9,038;197,6935;984,6886;1016,3537;1040,5149;1083,5693;90,2043;74,7593;62,6032;40,0699;
22668_2_2010;2010;geo;MT;152333,01;60,93;9;39;33;2;3;2;7;95;170616554,3;403925889,1;590689857;919343963,4;135277,31;111970,18;93309,55;60398,61;1,2834;152,392;64,8232;174,6418;114,6003727;9,2979;166,571;817,6998;843,5455;863,5789;899,8246;90,104;74,3597;62,1923;40,2094;
22668_2_2015;2015;geo;MT;147368,43;58,95;12;60;34;3;3;3;8;123;182328916,9;422401138,6;613283165,7;945257102,7;129142,6;105158,42;86086,91;52842,72;1,2813;177,804;65,2105;281,3471;158,2344042;8,2917;198,7124;824,0201;862,0043;894,8122;965,0519;89,049;72,2739;59,4059;36,4241;
22669_1985;1985;geo;MT;234822,38;93,93;1;4;3;0;0;1;1;10;82348578,78;235293859,8;383549601;727054456,2;226590,16;211309,67;196499,52;162116,93; N/A ;234,6981;67,4153;286,2111;121,9486225;4,6379;138,5604;281,7262;282,1168;282,3724;282,7876;96,9144;90,3246;84,2109;69,4429;
22669_1990;1990;geo;MT;225753,17;90,30;1;9;10;1;1;3;1;26;115852931,4;322486711,6;516583657,3;958038499,2;214172,13;193529,39;174140,67;129949,32;1,2157;189,5993;61,0001;200,2102;105,5964869;6,6114;154,7239;486,1388;487,7285;488,6815;489,8052;95,5045;86,2401;77,8456;58,1041;
22669_1995;1995;geo;MT;212744,61;85,10;6;23;20;0;0;3;1;53;140772351,1;386492870,8;613338956,6;1101847794;198672,64;174125,28;151464,6;102559,83;1,221;190,1628;61,4424;227,597;119,6853433;8,2893;161,6073;714,2307;716,7695;718,2506;720,9185;94,2013;82,5043;72,0616;48,808;
22669_2000;2000;geo;MT;192123,72;76,85;10;26;24;1;2;2;1;66;159315734,3;423971625,8;656429839;1120596347;176197,83;149757,99;126534,47;80064,09;1,2327;220,4247;62,1528;268,9467;122,0129595;9,9906;148,3192;772,2258;775,9539;778,2624;780,9863;92,7062;78,7175;66,8102;42,2727;
22669_2005;2005;geo;MT;122615,28;49,05;10;55;61;15;9;5;9;164;229098459,6;526569809,1;718920947,7;985344011,6;99746,7;70028,75;50802,37;24080,88;1,3084;204,3459;70,4089;255,9079;125,2327059;8,4496;199,5089;785,2412;870,242;937,3378;1092,8061;83,4561;58,2607;42,5371;20,0628;
22669_2010;2010;geo;MT;111851,1;44,74;7;78;82;23;8;6;13;217;219969950,4;501924035,6;686965061,3;939436732,4;89867,28;61692,58;43197;17907,43;1,2891;211,1712;75,9054;244,0937;115,5904309;5,8556;286,971;771,6421;882,2156;975,7668;1195,1272;82,5346;56,3669;39,7779;16,4316;
22669_2015;2015;geo;MT;108271,53;43,31;12;73;83;19;10;9;16;222;211366859,2;486795843,2;669584626,6;916534847,1;87142;59619,86;41350,21;16618,05;1,2507;206,465;75,1851;276,4499;133,8967379;4,5516;296,1659;612,3112;706,7595;791,1527;1048,869;82,6664;56,3052;39,3807;15,7599;
22867_1985;1985;geo;MT;231680,39;92,67;1;29;10;0;0;1;1;42;56262179,47;156091987,1;246328197,4;437313226,7;226055,27;216077,79;207059,32;187949,06;1,1817;204,7058;60,2584;198,537;96,98650453;2,8763;264,6409;638,782;639,6825;640,0225;640,3124;97,8355;93,4031;89,7065;81,314;
22867_1990;1990;geo;MT;224707,28;89,88;3;23;5;4;0;0;2;37;59279232,21;164271934,4;258083644,5;445512236,2;218780,61;208287,5;198911,94;180156,05;1,1479;348,8384;61,089;388,8917;111,4819068;2,6959;372,8887;578,2764;583,6253;587,2493;591,5464;97,6471;92,8545;88,8642;80,3634;
22867_1995;1995;geo;MT;211046,36;84,42;5;51;13;2;1;1;3;76;76831253,49;203424541,4;317615780,7;558064622,4;203365,37;190714,71;179303,81;155239,89;1,199;279,9237;61,0965;343,127;122,5787599;3,8532;186,7299;844,8824;853,5438;859,8231;865,9859;96,7386;90,6054;85,3999;73,8351;
22867_2000;2000;geo;MT;180611,82;72,24;4;136;38;1;1;1;4;185;117909928,1;287691231;429358210,5;723093169,5;168823,99;151857,67;137701,38;108302,5;1,3165;232,0956;61,684;305,4403;131,601073;6,1753;199,0494;1321,3794;1337,4137;1346,8821;1356,2982;94,1259;84,4788;76,8794;60,3536;
22867_2005;2005;geo;MT;154130,31;61,65;7;47;20;4;3;1;5;87;147969403,6;346997132,4;507417625,3;806858496,1;139339,37;119451,21;103421,64;73444,46;1,3031;192,2872;62,3821;365,3883;190,0221648;9,5418;117,5038;931,1011;945,8604;954,9809;964,1639;91,3525;78,0776;67,9256;48,0901;
22867_2010;2010;geo;MT;148172,67;59,27;12;107;40;9;2;0;6;176;156309406,4;355886237,8;515105187,8;813326976,2;132560,82;112618,27;96709;66839,97;1,3233;163,3024;62,0595;287,4603;176,0294399;8,2479;162,4824;1241,7784;1274,1974;1294,8038;1336,0265;90,4806;76,6289;66,1082;45,5742;
